,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,AVG_SPD,AVG_AOD,AVG_EOD,Run
0,0.76,0.668,0.705,0.68,0.372,0.364,0.33,0.278,0.1235,0.11699999999999999,0.07350000000000001,1
1,0.753,0.657,0.695,0.668,0.35,0.381,0.342,0.286,0.1305,0.123,0.08499999999999999,1
2,0.763,0.646,0.719,0.661,0.358,0.186,0.172,0.11,0.059,0.040499999999999994,0.039,1
3,0.78,0.682,0.739,0.698,0.418,0.204,0.173,0.125,0.0855,0.056,0.0385,0
4,0.78,0.693,0.735,0.707,0.426,0.066,0.059,0.049,0.039,0.036000000000000004,0.03,0
5,0.783,0.706,0.737,0.717,0.442,0.042,0.094,0.064,0.023,0.0595,0.042,0
6,0.757,0.663,0.7,0.674,0.361,0.041,0.067,0.064,0.025500000000000002,0.037500000000000006,0.037,0
7,0.75,0.659,0.725,0.671,0.378,0.068,0.102,0.091,0.0295,0.0365,0.041999999999999996,18
8,0.753,0.686,0.718,0.696,0.403,0.14,0.166,0.143,0.036,0.121,0.0385,18
9,0.757,0.691,0.722,0.701,0.413,0.063,0.173,0.035,0.019,0.066,0.0195,18
10,0.743,0.643,0.721,0.653,0.355,0.075,0.079,0.08,0.014,0.0535,0.036000000000000004,18
11,0.73,0.633,0.694,0.642,0.321,0.11,0.112,0.111,0.0585,0.0365,0.0425,18
12,0.74,0.65,0.721,0.659,0.364,0.123,0.147,0.058,0.0215,0.0545,0.028999999999999998,2
13,0.733,0.627,0.728,0.631,0.34,0.161,0.173,0.083,0.0295,0.0465,0.0185,2
14,0.713,0.609,0.683,0.611,0.283,0.048,0.119,0.09,0.021,0.0555,0.0385,2
15,0.767,0.652,0.719,0.667,0.365,0.188,0.305,0.127,0.015,0.017,0.005,3
16,0.777,0.67,0.734,0.686,0.399,0.162,0.232,0.1,0.056,0.018500000000000003,0.045,3
17,0.753,0.636,0.695,0.648,0.326,0.179,0.266,0.093,0.081,0.0675,0.0435,3
18,0.76,0.637,0.71,0.65,0.34,0.179,0.272,0.127,0.037000000000000005,0.024,0.005,3
19,0.727,0.621,0.651,0.629,0.27,0.125,0.059,0.163,0.0325,0.024,0.0415,3
20,0.78,0.686,0.734,0.701,0.418,0.087,0.047,0.105,0.036500000000000005,0.025,0.0465,19
21,0.78,0.658,0.752,0.676,0.399,0.102,0.119,0.167,0.047,0.042,0.0375,19
22,0.78,0.69,0.733,0.704,0.42,0.056,0.166,0.113,0.032,0.10600000000000001,0.0385,19
23,0.783,0.685,0.741,0.702,0.423,0.093,0.071,0.015,0.0445,0.02,0.009,19
24,0.793,0.656,0.789,0.677,0.425,0.101,0.139,0.077,0.026000000000000002,0.034499999999999996,0.0125,7
25,0.8,0.746,0.75,0.748,0.497,0.157,0.169,0.071,0.0335,0.078,0.015,7
26,0.823,0.763,0.783,0.771,0.545,0.119,0.044,0.154,0.06,0.0165,0.033,7
27,0.81,0.701,0.79,0.725,0.483,0.125,0.079,0.131,0.0645,0.006,0.0385,7
28,0.813,0.759,0.768,0.763,0.527,0.124,0.125,0.154,0.049,0.086,0.0445,7
29,0.81,0.701,0.79,0.725,0.483,0.126,0.023,0.036,0.0645,0.007,0.024,7
30,0.72,0.639,0.698,0.645,0.331,0.207,0.15,0.012,0.045,0.013,0.007,6
31,0.733,0.658,0.715,0.667,0.368,0.154,0.082,0.11,0.07200000000000001,0.02,0.046,6
32,0.743,0.67,0.729,0.681,0.395,0.154,0.082,0.128,0.076,0.025500000000000002,0.031,6
33,0.683,0.59,0.641,0.587,0.225,0.129,0.166,0.091,0.0395,0.05,0.0465,6
34,0.733,0.649,0.724,0.656,0.365,0.138,0.113,0.091,0.0225,0.035500000000000004,0.034,6
35,0.697,0.6,0.668,0.597,0.259,0.225,0.125,0.273,0.1295,0.10550000000000001,0.0315,6
36,0.757,0.678,0.731,0.69,0.405,0.106,0.056,0.114,0.043500000000000004,0.0155,0.0665,4
37,0.74,0.636,0.725,0.644,0.349,0.124,0.116,0.147,0.0365,0.0305,0.0755,4
38,0.753,0.645,0.759,0.655,0.388,0.04,0.061,0.049,0.0215,0.022,0.0295,4
39,0.753,0.637,0.778,0.644,0.391,0.102,0.108,0.062,0.013000000000000001,0.0285,0.021500000000000002,4
40,0.767,0.638,0.711,0.652,0.341,0.139,0.142,0.125,0.0345,0.0195,0.0275,5
41,0.757,0.623,0.692,0.635,0.308,0.129,0.075,0.093,0.05,0.032,0.036000000000000004,5
42,0.74,0.623,0.661,0.633,0.282,0.164,0.146,0.147,0.0695,0.047,0.0605,5
43,0.787,0.721,0.749,0.731,0.469,0.396,0.471,0.328,0.094,0.104,0.111,8
44,0.793,0.69,0.788,0.711,0.468,0.185,0.21,0.15,0.056999999999999995,0.0455,0.028999999999999998,8
45,0.783,0.696,0.754,0.712,0.446,0.064,0.129,0.06,0.0325,0.0745,0.0375,8
46,0.787,0.689,0.769,0.708,0.451,0.074,0.093,0.102,0.018500000000000003,0.0275,0.0235,8
47,0.733,0.673,0.695,0.68,0.368,0.203,0.145,0.317,0.087,0.063,0.11399999999999999,12
48,0.7,0.601,0.651,0.604,0.247,0.265,0.218,0.296,0.093,0.07100000000000001,0.10400000000000001,12
49,0.73,0.626,0.71,0.632,0.325,0.201,0.151,0.198,0.1055,0.0905,0.079,12
50,0.74,0.631,0.739,0.637,0.354,0.197,0.179,0.176,0.0865,0.07400000000000001,0.042499999999999996,12
51,0.717,0.598,0.699,0.594,0.279,0.065,0.119,0.01,0.0445,0.042499999999999996,0.0025,12
52,0.723,0.613,0.703,0.615,0.303,0.104,0.047,0.08,0.0405,0.025500000000000002,0.0335,12
53,0.73,0.613,0.73,0.613,0.322,0.148,0.13,0.099,0.079,0.058,0.052,12
54,0.747,0.625,0.662,0.635,0.284,0.233,0.224,0.148,0.0775,0.0685,0.036000000000000004,13
55,0.75,0.619,0.666,0.63,0.281,0.158,0.103,0.201,0.0775,0.0555,0.0605,13
56,0.733,0.632,0.648,0.638,0.279,0.201,0.148,0.253,0.098,0.0865,0.0545,13
57,0.733,0.62,0.643,0.627,0.262,0.128,0.195,0.201,0.0465,0.063,0.0445,13
58,0.74,0.641,0.657,0.647,0.297,0.149,0.099,0.141,0.075,0.0555,0.039,13
59,0.73,0.617,0.639,0.625,0.256,0.179,0.314,0.201,0.052,0.0925,0.039,13
60,0.753,0.629,0.672,0.641,0.299,0.246,0.2,0.201,0.1115,0.1105,0.0545,13
61,0.787,0.686,0.737,0.702,0.419,0.127,0.081,0.124,0.063,0.029,0.0625,9
62,0.777,0.649,0.731,0.665,0.371,0.147,0.178,0.158,0.0935,0.0595,0.071,9
63,0.773,0.623,0.744,0.637,0.347,0.213,0.152,0.105,0.1165,0.099,0.050499999999999996,9
64,0.773,0.669,0.715,0.683,0.382,0.281,0.189,0.175,0.16199999999999998,0.1215,0.107,9
65,0.773,0.669,0.715,0.683,0.382,0.127,0.101,0.164,0.078,0.040999999999999995,0.083,9
66,0.727,0.629,0.647,0.636,0.275,0.041,0.06,0.042,0.012499999999999999,0.0395,0.0085,9
67,0.723,0.608,0.71,0.607,0.301,0.101,0.103,0.041,0.0665,0.0635,0.0245,11
68,0.75,0.657,0.737,0.668,0.386,0.103,0.115,0.089,0.0365,0.0095,0.036500000000000005,11
69,0.733,0.621,0.73,0.624,0.333,0.089,0.083,0.05,0.052000000000000005,0.0385,0.0315,11
70,0.753,0.654,0.746,0.665,0.389,0.158,0.092,0.152,0.08199999999999999,0.027000000000000003,0.063,10
71,0.74,0.633,0.728,0.64,0.348,0.092,0.026,0.077,0.056999999999999995,0.0105,0.032,10
72,0.757,0.656,0.754,0.668,0.398,0.106,0.044,0.093,0.0755,0.021500000000000002,0.057999999999999996,10
73,0.743,0.662,0.712,0.673,0.371,0.169,0.098,0.133,0.1145,0.0615,0.0625,10
74,0.75,0.67,0.718,0.682,0.385,0.06,0.099,0.118,0.0205,0.042,0.044,14
75,0.73,0.622,0.701,0.628,0.314,0.154,0.101,0.125,0.011,0.0195,0.018000000000000002,14
76,0.74,0.632,0.722,0.64,0.343,0.076,0.085,0.078,0.0155,0.0275,0.0235,14
77,0.743,0.665,0.707,0.676,0.37,0.151,0.209,0.235,0.0685,0.078,0.037000000000000005,14
78,0.75,0.651,0.732,0.662,0.374,0.189,0.127,0.125,0.02,0.018000000000000002,0.0115,14
79,0.78,0.693,0.756,0.709,0.445,0.205,0.244,0.167,0.041,0.0895,0.062,15
80,0.77,0.658,0.764,0.674,0.409,0.189,0.244,0.083,0.019000000000000003,0.0565,0.034499999999999996,15
81,0.773,0.664,0.768,0.68,0.419,0.152,0.202,0.083,0.024,0.036500000000000005,0.034499999999999996,15
82,0.76,0.654,0.736,0.668,0.381,0.136,0.178,0.088,0.027999999999999997,0.0645,0.0475,15
83,0.763,0.651,0.751,0.664,0.389,0.087,0.147,0.081,0.042,0.079,0.062,15
84,0.763,0.657,0.744,0.671,0.391,0.115,0.19,0.088,0.0225,0.014,0.0625,15
85,0.773,0.676,0.753,0.692,0.422,0.152,0.211,0.039,0.0045000000000000005,0.051000000000000004,0.0165,15
86,0.77,0.673,0.746,0.689,0.414,0.198,0.274,0.096,0.047,0.0915,0.063,15
87,0.733,0.62,0.689,0.627,0.301,0.17,0.157,0.143,0.062000000000000006,0.0605,0.043,17
88,0.743,0.624,0.715,0.632,0.326,0.12,0.137,0.143,0.0805,0.07150000000000001,0.04,17
89,0.753,0.658,0.716,0.671,0.37,0.101,0.113,0.066,0.065,0.052000000000000005,0.024,17
90,0.757,0.7,0.713,0.706,0.413,0.146,0.093,0.123,0.061,0.0455,0.0385,17
91,0.713,0.636,0.655,0.642,0.29,0.113,0.156,0.116,0.065,0.07200000000000001,0.0345,17
92,0.723,0.652,0.669,0.658,0.321,0.123,0.05,0.197,0.079,0.028,0.113,17
93,0.767,0.686,0.731,0.699,0.415,0.213,0.147,0.065,0.08499999999999999,0.0455,0.0285,16
94,0.753,0.646,0.724,0.659,0.362,0.093,0.109,0.037,0.027999999999999997,0.047,0.011,16
95,0.763,0.654,0.747,0.668,0.39,0.19,0.124,0.057,0.0975,0.036,0.028499999999999998,16
96,0.753,0.646,0.724,0.659,0.362,0.036,0.131,0.103,0.0045000000000000005,0.08499999999999999,0.044,16
97,0.757,0.652,0.729,0.665,0.373,0.18,0.144,0.155,0.08,0.0375,0.0375,16
